City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,0,Palembang,ID,2020-02-24 02:57:22,-2.92,104.75,85.21,69,3,6.73,light rain,0.5,0.0
1,1,Hurricane,US,2020-02-24 02:57:23,37.18,-113.29,51.8,75,0,6.93,clear sky,0.0,0.0
2,2,Pisco,PE,2020-02-24 02:57:23,-13.7,-76.22,77.0,78,75,8.05,broken clouds,0.0,0.0
3,3,Faanui,PF,2020-02-24 02:57:23,-16.48,-151.75,83.39,70,6,9.04,light rain,0.13,0.0
4,4,College,US,2020-02-24 02:57:24,64.86,-147.8,-2.0,70,20,0.87,few clouds,0.0,0.0
5,5,Busselton,AU,2020-02-24 02:57:24,-33.65,115.33,82.99,32,100,15.21,overcast clouds,0.0,0.0
6,6,Hobart,AU,2020-02-24 02:52:34,-42.88,147.33,73.0,60,75,10.29,broken clouds,0.0,0.0
7,7,Georgetown,MY,2020-02-24 02:57:25,5.41,100.34,86.0,58,20,4.7,few clouds,0.0,0.0
8,8,Lata,PT,2020-02-24 02:57:26,40.16,-8.33,46.99,93,0,1.12,clear sky,0.0,0.0
9,9,Mahebourg,MU,2020-02-24 02:57:26,-20.41,57.7,75.99,94,20,3.36,few clouds,0.0,0.0
10,10,Dalvik,IS,2020-02-24 02:57:26,65.97,-18.53,27.46,94,100,6.58,snow,0.0,1.56
11,11,East London,ZA,2020-02-24 02:57:27,-33.02,27.91,63.61,68,10,3.29,clear sky,0.0,0.0
12,12,Dakar,SN,2020-02-24 02:57:27,14.69,-17.44,71.6,73,100,16.11,overcast clouds,0.0,0.0
13,13,Nyzhni Sirohozy,UA,2020-02-24 02:57:28,46.85,34.38,41.36,92,100,19.69,light rain,0.56,0.0
14,14,Severo-Kurilsk,RU,2020-02-24 02:57:28,50.68,156.12,26.6,96,100,34.47,snow,0.0,2.5
15,15,Pevek,RU,2020-02-24 02:57:29,69.7,170.31,-19.57,95,29,8.79,scattered clouds,0.0,0.0
16,16,Mlimba,TZ,2020-02-24 02:57:29,-8.8,35.82,73.89,99,100,2.01,light rain,1.63,0.0
17,17,San Andres,CO,2020-02-24 02:56:41,12.58,-81.7,77.0,88,75,11.41,broken clouds,0.0,0.0
