City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Harper,LR,2020-02-23 14:39:30,4.38,-7.72,84.92,81,96,5.32
1,Cherskiy,RU,2020-02-23 14:39:31,68.75,161.3,-25.83,92,65,6.22
2,San Patricio,MX,2020-02-23 14:39:31,19.22,-104.7,71.6,73,40,6.93
3,College,US,2020-02-23 14:39:32,64.86,-147.8,-2.2,83,90,3.36
4,Weligama,LK,2020-02-23 14:39:32,5.97,80.42,76.46,89,99,8.41
5,Carnarvon,AU,2020-02-23 14:39:33,-24.87,113.63,77.0,83,0,11.41
6,Barrow,US,2020-02-23 14:39:33,71.29,-156.79,-23.8,74,20,10.29
7,Muzhi,RU,2020-02-23 14:39:33,65.37,64.67,28.78,80,0,23.47
8,Lebu,CL,2020-02-23 14:39:34,-37.62,-73.65,68.83,59,2,7.16
9,Ushuaia,AR,2020-02-23 14:39:34,-54.8,-68.3,50.0,76,75,13.87
10,Batangafo,CF,2020-02-23 14:39:35,7.3,18.28,104.23,8,0,5.03
11,Norman Wells,CA,2020-02-23 14:39:36,65.28,-126.83,5.0,84,90,2.24
12,Busselton,AU,2020-02-23 14:39:36,-33.65,115.33,72.0,36,86,17.81
13,Ostrovnoy,RU,2020-02-23 14:39:36,68.05,39.51,31.8,94,100,21.3
14,Ribeira Grande,PT,2020-02-23 14:39:37,38.52,-28.7,62.6,63,75,6.93
15,Banjar,ID,2020-02-23 14:39:37,-8.19,114.97,84.2,83,20,5.82
16,Pasinler,TR,2020-02-23 14:39:38,39.98,41.68,37.4,69,75,2.24
17,Rikitea,PF,2020-02-23 14:39:38,-23.12,-134.97,78.21,66,0,0.92
18,Upernavik,GL,2020-02-23 14:39:39,72.79,-56.15,-16.1,77,0,7.18
19,Mar Del Plata,AR,2020-02-23 14:36:30,-38.0,-57.56,82.99,64,0,14.99
20,Port Blair,IN,2020-02-23 14:37:49,11.67,92.75,81.39,78,31,13.69
21,Georgetown,MY,2020-02-23 14:38:41,5.41,100.34,84.2,65,20,6.93
22,Iqaluit,CA,2020-02-23 14:36:45,63.75,-68.51,-29.0,66,20,18.34
23,Hilo,US,2020-02-23 14:39:41,19.73,-155.09,69.8,64,90,9.17
24,Sakaiminato,JP,2020-02-23 14:39:41,35.55,133.23,35.6,71,0,5.82
25,Chokurdakh,RU,2020-02-23 14:39:42,70.63,147.92,-20.65,99,96,2.82
26,Vaini,TO,2020-02-23 14:39:42,-21.2,-175.2,78.8,94,40,10.29
27,Dikson,RU,2020-02-23 14:39:42,73.51,80.55,28.87,96,100,24.38
28,Port Lincoln,AU,2020-02-23 14:36:05,-34.73,135.87,67.96,74,100,5.23
29,Albany,US,2020-02-23 14:35:02,42.6,-73.97,39.0,51,20,6.93
30,Huntsville,US,2020-02-23 14:35:20,34.73,-86.59,46.99,70,90,4.18
31,Padang,ID,2020-02-23 14:37:20,-0.95,100.35,71.51,82,0,5.95
32,Saint-Philippe,RE,2020-02-23 14:39:45,-21.36,55.77,82.4,65,75,5.82
33,Lakatoro,VU,2020-02-23 14:39:45,-16.1,167.42,81.9,77,0,14.27
34,New Norfolk,AU,2020-02-23 14:39:45,-42.78,147.06,57.2,82,94,4.7
35,Grindavik,IS,2020-02-23 14:36:24,63.84,-22.43,32.0,92,90,25.28
36,Yellowknife,CA,2020-02-23 14:39:46,62.46,-114.35,-7.01,76,90,9.17
37,Kodiak,US,2020-02-23 14:39:47,57.79,-152.41,17.6,44,1,20.8
38,Galesong,ID,2020-02-23 14:39:47,-5.32,119.37,80.6,94,20,3.36
39,Jamestown,US,2020-02-23 14:39:47,42.1,-79.24,39.99,54,1,9.17
40,Tura,IN,2020-02-23 14:39:48,25.52,90.22,69.69,46,0,3.67
41,De-Kastri,RU,2020-02-23 14:39:49,51.47,140.78,4.26,96,15,3.85
42,Valentigney,FR,2020-02-23 14:39:49,47.46,6.83,64.4,50,95,9.17
43,Nikolskoye,RU,2020-02-23 14:39:50,59.7,30.79,41.0,75,75,8.95
44,Puerto Ayora,EC,2020-02-23 14:39:50,-0.74,-90.35,80.6,78,40,5.82
45,Khatanga,RU,2020-02-23 14:39:51,71.97,102.5,13.05,93,100,14.03
46,Qaanaaq,GL,2020-02-23 14:39:52,77.48,-69.36,-19.23,90,48,2.33
47,Anadyr,RU,2020-02-23 14:39:52,64.75,177.48,-23.01,67,0,4.47
48,Snyder,US,2020-02-23 14:39:53,32.72,-100.92,51.01,87,40,4.7
49,Mataura,NZ,2020-02-23 14:39:53,-46.19,168.86,55.99,85,95,5.99
50,Hofn,IS,2020-02-23 14:39:53,64.25,-15.21,35.6,40,20,9.17
51,Pundaguitan,PH,2020-02-23 14:39:54,6.37,126.17,81.05,75,29,5.93
52,Hermanus,ZA,2020-02-23 14:39:54,-34.42,19.23,86.0,54,0,11.99
53,Misratah,LY,2020-02-23 14:39:55,32.38,15.09,57.79,59,0,13.96
54,Cape Town,ZA,2020-02-23 14:39:55,-33.93,18.42,86.0,39,0,24.16
55,Wajima,JP,2020-02-23 14:39:56,37.4,136.9,45.05,66,98,19.66
56,Margate,GB,2020-02-23 14:37:36,51.38,1.39,55.99,66,40,19.46
57,Naberera,TZ,2020-02-23 14:39:56,-4.2,36.93,78.89,61,78,8.48
58,Pouembout,NC,2020-02-23 14:39:57,-21.13,164.9,70.47,90,85,4.03
59,Tigil,RU,2020-02-23 14:39:57,57.8,158.67,3.6,77,97,6.96
60,Dakar,SN,2020-02-23 14:37:10,14.69,-17.44,84.2,73,97,16.11
61,Coquimbo,CL,2020-02-23 14:39:58,-29.95,-71.34,60.8,82,90,4.85
62,Diamantino,BR,2020-02-23 14:39:59,-14.41,-56.45,71.64,94,99,5.21
63,Punta Arenas,CL,2020-02-23 14:39:59,-53.15,-70.92,53.6,58,75,17.22
64,Charters Towers,AU,2020-02-23 14:35:22,-20.1,146.27,73.92,92,100,9.75
65,Luganville,VU,2020-02-23 14:40:00,-15.53,167.17,72.73,96,29,1.1
66,Luderitz,NA,2020-02-23 14:40:00,-26.65,15.16,89.6,38,0,14.99
67,Santa Cruz,BO,2020-02-23 14:38:37,-17.8,-63.17,77.0,53,75,14.99
68,Bowen,AU,2020-02-23 14:35:07,-20.02,148.23,77.0,100,75,6.93
69,Dicabisagan,PH,2020-02-23 14:40:02,17.08,122.42,74.41,87,100,11.74
70,Parana,AR,2020-02-23 14:38:32,-31.73,-60.52,78.01,48,0,3.0
71,Severo-Kurilsk,RU,2020-02-23 14:40:03,50.68,156.12,22.28,96,100,43.2
72,Karasuk,RU,2020-02-23 14:40:04,53.74,78.04,15.24,94,69,1.28
73,Mananjary,MG,2020-02-23 14:40:04,-21.22,48.33,80.64,81,44,10.42
74,Karaton,ID,2020-02-23 14:40:04,-6.34,106.1,82.4,83,75,5.82
75,Morant Bay,JM,2020-02-23 14:40:05,17.88,-76.41,84.2,54,20,12.75
76,Guerrero Negro,MX,2020-02-23 14:40:05,27.98,-114.06,57.85,74,100,13.56
77,Castro,BR,2020-02-23 14:39:22,-24.79,-50.01,70.68,55,100,5.75
78,Slupsk,PL,2020-02-23 14:39:43,54.46,17.03,41.68,80,100,13.24
79,Tiksi,RU,2020-02-23 14:40:07,71.69,128.87,-11.78,88,100,6.89
80,Huarmey,PE,2020-02-23 14:40:08,-10.07,-78.15,81.9,47,62,6.67
81,Yaan,NG,2020-02-23 14:40:08,7.38,8.57,105.33,7,68,9.44
82,Fare,PF,2020-02-23 14:40:08,-16.7,-151.02,82.09,70,29,8.57
83,Blagoyevo,RU,2020-02-23 14:40:09,63.37,47.92,31.24,88,100,18.19
84,Hobart,AU,2020-02-23 14:36:21,-42.88,147.33,57.2,82,99,4.7
85,Pisco,PE,2020-02-23 14:40:10,-13.7,-76.22,75.0,30,40,5.82
86,Tripoli,LY,2020-02-23 14:39:14,32.88,13.19,58.41,58,0,3.96
87,Tahta,EG,2020-02-23 14:40:11,26.77,31.5,68.0,32,100,6.93
